epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.45,2.36267,5.13179,1.45485,0.55331,0.62436,0.54765,0.234,1.47133,35.8302,0.98787,0.00332709,0.00332709,0.00332709
2,103.568,1.96765,2.59467,1.24615,0.59098,0.67942,0.61794,0.26897,1.41742,42.333,0.95461,0.00662746,0.00662746,0.00662746
3,145.13,1.9638,1.9623,1.25377,0.55653,0.64071,0.57816,0.25228,1.4174,97.4338,0.96206,0.00989482,0.00989482,0.00989482
4,188.361,1.93551,1.64186,1.24137,0.53993,0.60616,0.5434,0.22068,1.59925,27.3124,1.03882,0.0098515,0.0098515,0.0098515
5,230.561,1.89192,1.42398,1.21561,0.73758,0.70772,0.74366,0.33236,1.45891,12.6665,0.97853,0.009802,0.009802,0.009802
6,271.65,1.84765,1.30962,1.19629,0.87703,0.82451,0.8989,0.42847,1.34891,2.0263,0.91648,0.0097525,0.0097525,0.0097525
7,312.605,1.82585,1.24592,1.18793,0.79247,0.82554,0.85289,0.40396,1.33568,22.4046,0.90575,0.009703,0.009703,0.009703
8,357.515,1.80116,1.17427,1.17321,0.79021,0.83406,0.86175,0.41805,1.32299,24.7716,0.90886,0.0096535,0.0096535,0.0096535
9,398.539,1.77574,1.13083,1.16307,0.93415,0.85769,0.93051,0.46537,1.29765,1.33797,0.89582,0.009604,0.009604,0.009604
10,440.097,1.7757,1.08996,1.16174,0.92565,0.8835,0.93855,0.46381,1.31361,12.2681,0.89746,0.0095545,0.0095545,0.0095545
11,481.073,1.76273,1.05852,1.14907,0.81595,0.84883,0.89115,0.44783,1.28296,40.571,0.88543,0.009505,0.009505,0.009505
12,522.179,1.75448,1.0423,1.14529,0.93153,0.93548,0.95786,0.49913,1.24816,1.12905,0.87786,0.0094555,0.0094555,0.0094555
13,562.955,1.74243,1.00961,1.1395,0.88463,0.8119,0.90079,0.46147,1.27568,0.95117,0.88022,0.009406,0.009406,0.009406
14,607.747,1.734,0.99468,1.13118,0.9673,0.91345,0.96499,0.49458,1.27813,1.71814,0.87753,0.0093565,0.0093565,0.0093565
15,648.703,1.72027,0.97821,1.13154,0.96197,0.92783,0.96616,0.50249,1.26083,1.16985,0.86774,0.009307,0.009307,0.009307
16,689.527,1.70167,0.94988,1.11758,0.94422,0.92551,0.96282,0.49767,1.26432,7.00579,0.87172,0.0092575,0.0092575,0.0092575
17,730.303,1.69837,0.93719,1.12139,0.97117,0.95162,0.97616,0.50949,1.25036,2.46149,0.86406,0.009208,0.009208,0.009208
18,771.482,1.68454,0.92328,1.11835,0.94028,0.92883,0.97011,0.49953,1.25812,1.19036,0.86998,0.0091585,0.0091585,0.0091585
19,812.323,1.69018,0.92226,1.11869,0.96699,0.94392,0.97371,0.51733,1.23946,0.8831,0.86321,0.009109,0.009109,0.009109
20,853.22,1.67233,0.90208,1.1082,0.94937,0.94772,0.97195,0.50837,1.24746,1.35691,0.85951,0.0090595,0.0090595,0.0090595
21,894.264,1.68447,0.90508,1.11216,0.94213,0.94894,0.97147,0.51911,1.23571,0.61428,0.85671,0.00901,0.00901,0.00901
22,935.062,1.67384,0.89456,1.10624,0.96807,0.95648,0.97461,0.51264,1.23469,1.26896,0.85861,0.0089605,0.0089605,0.0089605
23,975.955,1.65829,0.87559,1.09707,0.9553,0.91371,0.96612,0.51948,1.2379,0.71896,0.85701,0.008911,0.008911,0.008911
24,1017.04,1.65919,0.86368,1.09904,0.97051,0.9604,0.9761,0.52277,1.22761,0.66357,0.85443,0.0088615,0.0088615,0.0088615
25,1057.97,1.6449,0.85286,1.09421,0.9608,0.954,0.97277,0.52481,1.22671,3.99044,0.85009,0.008812,0.008812,0.008812
