epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1098.96,1.65263,0.85563,1.09044,0.96464,0.95568,0.97728,0.52751,1.21423,1.15123,0.84912,0.0087625,0.0087625,0.0087625
27,1140,1.64636,0.85299,1.09517,0.95985,0.9429,0.97499,0.53813,1.21289,0.58167,0.84669,0.008713,0.008713,0.008713
28,1197.11,1.64137,0.85226,1.09317,0.96738,0.96045,0.97835,0.52924,1.20699,1.35831,0.84635,0.0086635,0.0086635,0.0086635
29,1242.24,1.63903,0.83375,1.0908,0.97414,0.96558,0.97856,0.52571,1.222,1.0026,0.85522,0.008614,0.008614,0.008614
30,1283.24,1.63316,0.84017,1.0951,0.98002,0.96107,0.97971,0.53397,1.20201,0.78877,0.84615,0.0085645,0.0085645,0.0085645
31,1324.54,1.62792,0.82157,1.08856,0.97496,0.96424,0.9778,0.53522,1.20969,0.5508,0.84554,0.008515,0.008515,0.008515
32,1365.81,1.61657,0.82549,1.09008,0.97529,0.9627,0.98013,0.53752,1.19533,0.89005,0.84103,0.0084655,0.0084655,0.0084655
33,1427.89,1.62748,0.81508,1.08806,0.96829,0.96947,0.98021,0.54196,1.20748,1.13323,0.84295,0.008416,0.008416,0.008416
34,1476.52,1.61752,0.80392,1.08536,0.97241,0.9695,0.97834,0.54278,1.20275,0.56396,0.84256,0.0083665,0.0083665,0.0083665
35,1518.14,1.61844,0.81178,1.08176,0.9712,0.95882,0.97719,0.54254,1.19538,0.61278,0.84112,0.008317,0.008317,0.008317
36,1559.44,1.61086,0.80773,1.08324,0.97723,0.96869,0.9802,0.54055,1.20095,0.84234,0.84388,0.0082675,0.0082675,0.0082675
37,1600.21,1.60397,0.79333,1.07649,0.97464,0.97294,0.98453,0.54505,1.19302,1.01521,0.83638,0.008218,0.008218,0.008218
38,1641.58,1.6044,0.79927,1.0827,0.9731,0.97125,0.98162,0.55122,1.19429,0.66796,0.83779,0.0081685,0.0081685,0.0081685
39,1682.92,1.59545,0.79028,1.07625,0.97946,0.9695,0.98315,0.55129,1.17686,0.55825,0.83249,0.008119,0.008119,0.008119
40,1723.93,1.59251,0.78795,1.0762,0.97982,0.97093,0.98357,0.55264,1.18513,0.89915,0.83463,0.0080695,0.0080695,0.0080695
41,1764.76,1.59371,0.78952,1.07635,0.98087,0.96759,0.98508,0.55964,1.17606,0.61465,0.82993,0.00802,0.00802,0.00802
42,1805.51,1.59529,0.77859,1.07754,0.98158,0.97426,0.98493,0.55785,1.17626,0.46836,0.83155,0.0079705,0.0079705,0.0079705
43,1846.55,1.58298,0.77388,1.07041,0.97883,0.97213,0.98712,0.55692,1.1753,0.53112,0.83011,0.007921,0.007921,0.007921
44,1887.44,1.58051,0.76488,1.07232,0.97691,0.97253,0.98413,0.56031,1.17679,0.55363,0.83006,0.0078715,0.0078715,0.0078715
45,1928.29,1.57439,0.76718,1.07341,0.97549,0.97819,0.98678,0.56258,1.16017,0.49749,0.82623,0.007822,0.007822,0.007822
46,1968.98,1.57605,0.7656,1.07077,0.97746,0.97549,0.98518,0.5632,1.16508,0.57646,0.82667,0.0077725,0.0077725,0.0077725
47,2010.14,1.57495,0.76575,1.06797,0.97702,0.97839,0.98499,0.56601,1.15671,0.89785,0.82297,0.007723,0.007723,0.007723
48,2050.96,1.56308,0.75971,1.06574,0.97327,0.97322,0.9834,0.56705,1.16692,0.50987,0.82911,0.0076735,0.0076735,0.0076735
49,2091.79,1.55719,0.74962,1.06256,0.97891,0.97471,0.98341,0.56976,1.15257,0.62023,0.82506,0.007624,0.007624,0.007624
50,2132.62,1.56231,0.75678,1.06668,0.9789,0.97478,0.98433,0.5702,1.16075,0.52732,0.82471,0.0075745,0.0075745,0.0075745
51,2173.86,1.55493,0.75175,1.06082,0.97344,0.97877,0.98505,0.5752,1.15455,0.46928,0.82172,0.007525,0.007525,0.007525
52,2214.48,1.54698,0.74585,1.06179,0.97799,0.97128,0.98703,0.57837,1.15492,0.46942,0.82173,0.0074755,0.0074755,0.0074755
53,2255.21,1.56024,0.74998,1.06621,0.97928,0.97686,0.98754,0.5745,1.14639,0.49179,0.8188,0.007426,0.007426,0.007426
54,2295.65,1.54962,0.74045,1.05666,0.97936,0.97629,0.98574,0.58054,1.14436,0.4769,0.81795,0.0073765,0.0073765,0.0073765
55,2338.66,1.55278,0.74064,1.06188,0.97604,0.97772,0.98702,0.58265,1.14619,0.51039,0.81733,0.007327,0.007327,0.007327
56,2379.68,1.54023,0.73824,1.05785,0.98149,0.97522,0.98798,0.58065,1.13823,0.55368,0.8174,0.0072775,0.0072775,0.0072775
57,2420.6,1.54901,0.73454,1.05636,0.97871,0.9737,0.98755,0.58494,1.13604,0.46522,0.81613,0.007228,0.007228,0.007228
58,2461.37,1.53791,0.73836,1.06153,0.97339,0.98304,0.98628,0.5852,1.13486,0.48607,0.81653,0.0071785,0.0071785,0.0071785
59,2502.26,1.53576,0.73126,1.05569,0.97616,0.98356,0.98755,0.5775,1.14004,0.49245,0.81823,0.007129,0.007129,0.007129
60,2543.18,1.53529,0.72644,1.05334,0.9736,0.98143,0.98622,0.58227,1.13242,0.45017,0.81516,0.0070795,0.0070795,0.0070795
61,2584.14,1.52753,0.72284,1.05528,0.97958,0.97571,0.9861,0.58186,1.12966,0.47932,0.81516,0.00703,0.00703,0.00703
62,2624.94,1.51716,0.7185,1.04715,0.97498,0.97951,0.98718,0.58885,1.13013,0.51974,0.81357,0.0069805,0.0069805,0.0069805
63,2665.54,1.52245,0.72754,1.04744,0.97658,0.98015,0.98696,0.58661,1.13545,0.44233,0.8155,0.006931,0.006931,0.006931
64,2706.54,1.52296,0.72163,1.0479,0.9757,0.97849,0.98708,0.58576,1.13178,0.44055,0.81464,0.0068815,0.0068815,0.0068815
65,2748.01,1.49905,0.70948,1.04336,0.98027,0.97725,0.98769,0.58996,1.12901,0.44449,0.81409,0.006832,0.006832,0.006832
66,2788.69,1.5083,0.7076,1.04608,0.98183,0.98147,0.98703,0.58762,1.13117,0.45699,0.81341,0.0067825,0.0067825,0.0067825
67,2829.54,1.50953,0.71899,1.04583,0.98041,0.98054,0.98738,0.59009,1.12543,0.48752,0.81131,0.006733,0.006733,0.006733
68,2870.4,1.51415,0.70954,1.04796,0.9794,0.9809,0.98684,0.59259,1.12248,0.45121,0.81085,0.0066835,0.0066835,0.0066835
69,2911.42,1.50708,0.70847,1.04599,0.97957,0.97919,0.98689,0.59091,1.11974,0.44441,0.80932,0.006634,0.006634,0.006634
70,2952.34,1.50183,0.70525,1.04182,0.97783,0.98186,0.98739,0.59522,1.11535,0.43977,0.80732,0.0065845,0.0065845,0.0065845
71,2993.18,1.50632,0.704,1.04192,0.97406,0.98469,0.98796,0.59584,1.11109,0.43184,0.80691,0.006535,0.006535,0.006535
72,3034.11,1.4995,0.70629,1.04018,0.9809,0.98188,0.98771,0.5968,1.10931,0.42319,0.80689,0.0064855,0.0064855,0.0064855
73,3075.18,1.48783,0.69175,1.03945,0.98108,0.98299,0.98686,0.5937,1.11053,0.43991,0.80588,0.006436,0.006436,0.006436
74,3116.36,1.49444,0.70509,1.04415,0.98012,0.98215,0.98785,0.59192,1.1146,0.42839,0.80777,0.0063865,0.0063865,0.0063865
75,3157.18,1.49172,0.69708,1.041,0.97961,0.98158,0.98714,0.59713,1.1114,0.43953,0.80574,0.006337,0.006337,0.006337
76,3198.14,1.49005,0.69643,1.03957,0.97796,0.98324,0.9874,0.60008,1.10693,0.43838,0.80519,0.0062875,0.0062875,0.0062875
77,3239,1.48449,0.69395,1.03796,0.97797,0.98628,0.98749,0.60144,1.10187,0.47476,0.80436,0.006238,0.006238,0.006238
78,3284.76,1.4707,0.68307,1.03139,0.98004,0.98545,0.98804,0.60448,1.10036,0.44592,0.8028,0.0061885,0.0061885,0.0061885
